*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
0;1;8206
1;1;8206
2;1;8206
3;1;8206
4;1;8206
5;1;8206
6;1;8206
7;1;8206
8;1;8206
9;1;8206
10;1;8206
11;1;8206
12;1;8206
13;1;8206
14;1;8206
15;1;8206
16;1;8206
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
4;ZD196614;8211;8206;0:12:28:00;0:12:34:00;3;
4;VD458758;8206;8221;0:12:44:00;0:12:45:00;4;
4;458758;8221;8210;0:12:45:00;0:13:03:00;1;-
4;L458758;8210;8209;0:13:03:00;0:13:08:00;2;
4;L458758w;8209;8209;0:13:08:00;0:13:13:00;9;
4;589830;8209;8217;0:13:13:00;0:13:31:00;1;-
4;ZD589830;8217;8206;0:13:31:00;0:13:37:00;3;
4;VD131079;8206;8206;0:17:46:00;0:17:46:00;4;
4;131079;8206;8198;0:17:46:00;0:18:36:00;1;-
4;131079w;8198;8198;0:18:36:00;0:18:51:00;9;
4;131097;8198;8206;0:18:51:00;0:19:41:00;1;-
4;131097w;8206;8206;0:19:41:00;0:19:46:00;9;
4;131080;8206;8198;0:19:46:00;0:20:36:00;1;-
4;131080w;8198;8198;0:20:36:00;0:20:51:00;9;
4;131099;8198;8206;0:20:51:00;0:21:41:00;1;-
4;ZD131099;8206;8206;0:21:41:00;0:21:41:00;3;
5;VD131073;8206;8206;0:05:46:00;0:05:46:00;4;
5;131073;8206;8198;0:05:46:00;0:06:36:00;1;-
5;LW;8198;8201;0:06:36:00;0:06:42:00;2;
5;LWw;8201;8201;0:06:42:00;0:06:43:00;9;
5;720897;8201;8199;0:06:43:00;0:07:03:00;1;-
5;L720897;8199;8224;0:07:03:00;0:07:17:00;2;
5;L720897w;8224;8224;0:07:17:00;0:07:22:00;9;
5;524289;8224;8205;0:07:22:00;0:07:34:00;1;-
5;L524289;8205;8217;0:07:34:00;0:07:40:00;2;
5;589828;8217;8222;0:07:40:00;0:07:57:00;1;-
5;ZD589828;8222;8206;0:07:57:00;0:08:00:00;3;
5;VD262181;8206;8211;0:08:39:00;0:08:45:00;4;
5;262181;8211;8196;0:08:45:00;0:09:39:00;1;-
5;262181w;8196;8196;0:09:39:00;0:10:02:00;9;
5;262155;8196;8211;0:10:02:00;0:10:53:00;1;-
5;L262155;8211;8210;0:10:53:00;0:10:59:00;2;
5;L262155w;8210;8210;0:10:59:00;0:11:00:00;9;
5;327729;8210;8198;0:11:00:00;0:11:49:00;1;-
5;327729w;8198;8198;0:11:49:00;0:12:03:00;9;
5;327715;8198;8199;0:12:03:00;0:12:30:00;1;-
5;ZD327715;8199;8206;0:12:30:00;0:12:40:00;3;
5;VD524290;8206;8209;0:13:10:00;0:13:15:00;4;
5;524290;8209;8224;0:13:15:00;0:13:26:00;1;-
5;ZD524290;8224;8206;0:13:26:00;0:13:40:00;3;
5;VD131078;8206;8206;0:15:46:00;0:15:46:00;4;
5;131078;8206;8198;0:15:46:00;0:16:36:00;1;-
5;131078w;8198;8198;0:16:36:00;0:16:51:00;9;
5;131095;8198;8206;0:16:51:00;0:17:41:00;1;-
5;ZD131095;8206;8206;0:17:41:00;0:17:41:00;3;
6;VD327723;8206;8210;0:05:59:00;0:06:10:00;4;
6;327723;8210;8198;0:06:10:00;0:06:57:00;1;-
6;327723w;8198;8198;0:06:57:00;0:07:03:00;9;
6;327700;8198;8210;0:07:03:00;0:07:48:00;1;-
6;327700w;8210;8210;0:07:48:00;0:07:50:00;9;
6;327685;8210;8198;0:07:50:00;0:08:39:00;1;-
6;327685w;8198;8198;0:08:39:00;0:08:51:00;9;
6;131085;8198;8206;0:08:51:00;0:09:41:00;1;-
6;ZD131085;8206;8206;0:09:41:00;0:09:41:00;3;
6;VD791455;8206;8215;0:15:50:00;0:15:55:00;4;
6;791455;8215;8222;0:15:55:00;0:16:03:00;1;-
6;791455w;8222;8222;0:16:03:00;0:16:05:00;9;
6;589836;8222;8217;0:16:05:00;0:16:17:00;1;-
6;ZD589836;8217;8206;0:16:17:00;0:16:23:00;3;
6;VD262162;8206;8195;0:17:28:00;0:17:41:00;4;
6;262162;8195;8211;0:17:41:00;0:18:03:00;1;-
6;262162w;8211;8211;0:18:03:00;0:18:05:00;9;
6;262186;8211;8193;0:18:05:00;0:19:03:00;1;-
6;262186w;8193;8193;0:19:03:00;0:19:22:00;9;
6;262161;8193;8211;0:19:22:00;0:20:12:00;1;-
6;262161w;8211;8211;0:20:12:00;0:20:15:00;9;
6;262184;8211;8196;0:20:15:00;0:21:02:00;1;-
6;262184w;8196;8196;0:21:02:00;0:21:26:00;9;
6;262153;8196;8211;0:21:26:00;0:22:12:00;1;-
6;262153w;8211;8211;0:22:12:00;0:22:15:00;9;
6;262177;8211;8196;0:22:15:00;0:23:02:00;1;-
6;262177w;8196;8196;0:23:02:00;0:23:26:00;9;
6;262154;8196;8211;0:23:26:00;1:00:12:00;1;-
6;ZD262154;8211;8206;1:00:12:00;1:00:18:00;3;
7;VD262187;8206;8208;0:06:01:00;0:06:06:00;4;
7;262187;8208;8195;0:06:06:00;0:06:18:00;1;-
7;L262187;8195;8208;0:06:18:00;0:06:25:00;2;
7;L262187w;8208;8208;0:06:25:00;0:06:26:00;9;
7;262188;8208;8195;0:06:26:00;0:06:38:00;1;-
7;L262188;8195;8198;0:06:38:00;0:06:51:00;2;
7;131084;8198;8206;0:06:51:00;0:07:41:00;1;-
7;ZD131084;8206;8206;0:07:41:00;0:07:41:00;3;
