*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
4;556;602;500;1:01:38:00;1:02:13:00;1;
4;556w;500;500;1:02:13:00;1:02:15:00;9;
4;571;500;353;1:02:15:00;1:02:38:00;1;
4;571w;353;353;1:02:38:00;1:02:52:00;9;
4;572;353;500;1:02:52:00;1:03:12:00;1;
4;572w;500;500;1:03:12:00;1:03:15:00;9;
4;624;500;235;1:03:15:00;1:03:25:00;1;
4;ZD624;235;1;1:03:25:00;1:03:40:00;3;
5;VD25;1;441;0:05:05:00;0:05:21:00;4;
5;25;441;296;0:05:21:00;0:05:53:00;1;
5;25w;296;296;0:05:53:00;0:06:02:00;9;
5;26;296;441;0:06:02:00;0:06:34:00;1;
5;26w;441;441;0:06:34:00;0:06:51:00;9;
5;27;441;296;0:06:51:00;0:07:23:00;1;
5;27w;296;296;0:07:23:00;0:07:32:00;9;
5;28;296;441;0:07:32:00;0:08:04:00;1;
5;28w;441;441;0:08:04:00;0:08:20:00;9;
5;388;441;271;0:08:20:00;0:08:54:00;1;
5;388w;271;271;0:08:54:00;0:08:57:00;9;
5;389;271;654;0:08:57:00;0:09:41:00;1;
5;L389;654;213;0:09:41:00;0:09:48:00;2;
5;L389w;213;213;0:09:48:00;0:09:52:00;9;
5;455;213;271;0:09:52:00;0:10:29:00;1;
5;455w;271;271;0:10:29:00;0:10:36:00;9;
5;456;271;441;0:10:36:00;0:11:08:00;1;
5;456w;441;441;0:11:08:00;0:11:21:00;9;
5;33;441;296;0:11:21:00;0:11:53:00;1;
5;33w;296;296;0:11:53:00;0:12:02:00;9;
5;34;296;441;0:12:02:00;0:12:34:00;1;
5;34w;441;441;0:12:34:00;0:12:51:00;9;
5;35;441;296;0:12:51:00;0:13:23:00;1;
5;35w;296;296;0:13:23:00;0:13:32:00;9;
5;36;296;441;0:13:32:00;0:14:04:00;1;
5;36w;441;441;0:14:04:00;0:14:20:00;9;
5;411;441;271;0:14:20:00;0:14:54:00;1;
5;411w;271;271;0:14:54:00;0:14:57:00;9;
5;412;271;213;0:14:57:00;0:15:32:00;1;
5;ZD412;213;1;0:15:32:00;0:15:42:00;3;
5;VD485;1;500;0:16:20:00;0:16:30:00;4;
5;485;500;394;0:16:30:00;0:17:12:00;1;
5;485w;394;394;0:17:12:00;0:17:15:00;9;
5;486;394;500;0:17:15:00;0:18:03:00;1;
5;ZD486;500;1;0:18:03:00;0:18:13:00;3;
5;VD208;1;253;0:18:59:00;0:19:04:00;4;
5;208;253;297;0:19:04:00;0:19:38:00;1;
5;208w;297;297;0:19:38:00;0:19:49:00;9;
5;209;297;253;0:19:49:00;0:20:22:00;1;
5;L209;253;586;0:20:22:00;0:20:37:00;2;
5;L209w;586;586;0:20:37:00;0:20:38:00;9;
5;311;586;500;0:20:38:00;0:20:57:00;1;
5;311w;500;500;0:20:57:00;0:21:00:00;9;
5;513;500;297;0:21:00:00;0:21:29:00;1;
5;513w;297;297;0:21:29:00;0:21:33:00;9;
5;514;297;500;0:21:33:00;0:21:58:00;1;
5;L514;500;364;0:21:58:00;0:22:13:00;2;
5;L514w;364;364;0:22:13:00;0:22:32:00;9;
5;529;364;500;0:22:32:00;0:22:57:00;1;
5;529w;500;500;0:22:57:00;0:23:10:00;9;
5;LW;500;235;0:23:10:00;0:23:17:00;2;
5;LWw;235;235;0:23:17:00;0:23:18:00;9;
5;609;235;500;0:23:18:00;0:23:28:00;1;
5;609w;500;500;0:23:28:00;0:23:30:00;9;
5;640;500;558;0:23:30:00;0:23:52:00;1;
5;640w;558;558;0:23:52:00;1:00:03:00;9;
5;641;558;500;1:00:03:00;1:00:28:00;1;
5;641w;500;500;1:00:28:00;1:00:37:00;9;
5;LW;500;228;1:00:37:00;1:00:47:00;2;
5;LWw;228;228;1:00:47:00;1:01:01:00;9;
5;655;228;500;1:01:01:00;1:01:12:00;1;
5;655w;500;500;1:01:12:00;1:01:15:00;9;
5;595;500;441;1:01:15:00;1:01:32:00;1;
5;ZD595;441;1;1:01:32:00;1:01:48:00;3;
6;VD46;1;558;0:05:06:00;0:05:31:00;4;
6;46;558;101;0:05:31:00;0:06:08:00;1;
6;ZD46;101;1;0:06:08:00;0:06:10:00;3;
6;VD231;1;271;0:06:10:00;0:06:27:00;4;
6;231;271;654;0:06:27:00;0:07:11:00;1;
6;L231;654;253;0:07:11:00;0:07:33:00;2;
6;L231w;253;253;0:07:33:00;0:07:34:00;9;
6;313;253;297;0:07:34:00;0:08:08:00;1;
6;L313;297;292;0:08:08:00;0:08:11:00;2;
6;L313w;292;292;0:08:11:00;0:08:15:00;9;
6;421;292;228;0:08:15:00;0:08:55:00;1;
6;L421;228;300;0:08:55:00;0:09:01:00;2;
6;L421w;300;300;0:09:01:00;0:09:32:00;9;
6;92;300;292;0:09:32:00;0:10:40:00;1;
6;L92;292;297;0:10:40:00;0:10:44:00;2;
6;L92w;297;297;0:10:44:00;0:10:49:00;9;
6;197;297;253;0:10:49:00;0:11:22:00;1;
6;ZD197;253;1;0:11:22:00;0:11:27:00;3;
6;VD409;1;213;0:12:43:00;0:12:52:00;4;
6;409;213;271;0:12:52:00;0:13:29:00;1;
6;409w;271;271;0:13:29:00;0:13:36:00;9;
6;410;271;441;0:13:36:00;0:14:08:00;1;
6;410w;441;441;0:14:08:00;0:14:21:00;9;
6;37;441;296;0:14:21:00;0:14:53:00;1;
6;37w;296;296;0:14:53:00;0:15:02:00;9;
6;38;296;441;0:15:02:00;0:15:34:00;1;
6;38w;441;441;0:15:34:00;0:15:51:00;9;
6;39;441;296;0:15:51:00;0:16:23:00;1;
6;39w;296;296;0:16:23:00;0:16:32:00;9;
6;40;296;441;0:16:32:00;0:17:04:00;1;
6;40w;441;441;0:17:04:00;0:17:21:00;9;
