*
* Diensttypen
*
$DUTY:DutyID;DutyType
41;day-Tripper
59;day-Tripper
102;day-Tripper
109;day-Tripper
117;day-Tripper
131;day-Tripper
171;day-Tripper
33077;day-Split
38202;day-Block30
47767;day-Split
48674;day-Split
60958;day-Tripper
62499;day-Split
62653;day-Split
75061;day-Split
76093;day-Block30
76351;day-Block30
77857;day-Block30
85564;day-Block30
94712;day-Split
96393;day-Block30
122492;day-Split
133911;day-Block30
142340;day-Split
144869;day-Block30
154512;day-Split
155352;day-Block30
158399;day-Split
159408;day-Block30
164247;day-Split
171980;day-Block20
175480;day-Split
178491;day-Split
178595;day-Split
190910;day-Split
193985;day-Block20
200847;day-Block30
201351;day-Block30
203881;day-Block20
209343;day-Split
210068;day-Block30
211373;day-Block30
218409;day-Tripper
219751;day-Block30
222880;day-Block20
227408;day-Split
244883;day-Split
245261;day-Block30
252747;day-Split
258001;day-Block30
263510;day-Split
263840;day-Split
276538;day-Split
278350;day-Block30
285212;day-Split
285381;day-Split
285567;day-Split
287426;day-Tripper
287795;day-Split
289050;day-Block20
291998;day-Split
294107;day-Block20
295145;day-Tripper
295856;day-Split
296411;day-Block30
297092;day-Block30
297442;day-Block20
*
* Dienste
* (mit ElementType: 1 = Servicefahrt, 2 = Leerfahrt Haltestellen, 3 = Fahrt ins Depot, 4 = Fahrt aus dem Depot, 5 = Vorbereitung, 6 = Nachbereitung, 7 = Transfer, 8 = Pause, 9 = Warten, 10 = LayoverTime)
$DUTYELEMENT:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
60958;4;-1;500;500;1:02:13:00;1:02:15:00;9;
60958;4;571;500;353;1:02:15:00;1:02:38:00;1;
60958;4;-1;353;353;1:02:38:00;1:02:52:00;9;
60958;4;572;353;500;1:02:52:00;1:03:12:00;1;
60958;4;-1;500;500;1:03:12:00;1:03:15:00;9;
60958;4;624;500;235;1:03:15:00;1:03:25:00;1;
60958;4;-1;235;1;1:03:25:00;1:03:40:00;3;
60958;-3;-1;1;-1;1:03:40:00;1:03:50:00;6;
62499;-3;-1;-1;1;0:06:09:00;0:06:19:00;5;
62499;18;-1;1;300;0:06:19:00;0:06:32:00;4;
62499;18;282;300;292;0:06:32:00;0:07:40:00;1;
62499;18;-1;292;292;0:07:40:00;0:07:45:00;9;
62499;18;283;292;300;0:07:45:00;0:08:31:00;1;
62499;18;-1;300;300;0:08:31:00;0:08:32:00;9;
62499;18;284;300;292;0:08:32:00;0:09:40:00;1;
62499;18;-1;292;292;0:09:40:00;0:09:45:00;9;
62499;18;285;292;300;0:09:45:00;0:10:31:00;1;
62499;18;-1;300;300;0:10:31:00;0:10:32:00;9;
62499;18;286;300;292;0:10:32:00;0:11:40:00;1;
62499;18;-1;292;292;0:11:40:00;0:11:45:00;9;
62499;18;287;292;300;0:11:45:00;0:12:31:00;1;
62499;18;-1;300;300;0:12:31:00;0:12:32:00;9;
62499;18;288;300;292;0:12:32:00;0:13:40:00;1;
62499;18;-1;292;297;0:13:40:00;0:13:44:00;2;
62499;18;-1;297;297;0:13:44:00;0:13:49:00;9;
62499;18;201;297;253;0:13:49:00;0:14:22:00;1;
62499;18;-1;253;1;0:14:22:00;0:14:27:00;3;
62499;-1;P;-1;-1;0:14:27:00;0:16:34:00;8;
62499;15;-1;1;441;0:16:34:00;0:16:50:00;4;
62499;15;381;441;271;0:16:50:00;0:17:24:00;1;
62499;15;-1;271;1;0:17:24:00;0:17:41:00;3;
62499;-3;-1;1;-1;0:17:41:00;0:17:51:00;6;
62653;-3;-1;-1;1;0:06:33:00;0:06:43:00;5;
62653;23;-1;1;213;0:06:43:00;0:06:52:00;4;
62653;23;386;213;271;0:06:52:00;0:07:29:00;1;
62653;23;-1;271;271;0:07:29:00;0:07:36:00;9;
62653;23;387;271;441;0:07:36:00;0:08:08:00;1;
62653;23;-1;441;441;0:08:08:00;0:08:21:00;9;
62653;23;29;441;296;0:08:21:00;0:08:53:00;1;
62653;23;-1;296;296;0:08:53:00;0:09:02:00;9;
62653;23;30;296;441;0:09:02:00;0:09:34:00;1;
62653;23;-1;441;441;0:09:34:00;0:09:51:00;9;
62653;23;31;441;296;0:09:51:00;0:10:23:00;1;
62653;23;-1;296;296;0:10:23:00;0:10:32:00;9;
62653;23;32;296;441;0:10:32:00;0:11:04:00;1;
62653;23;-1;441;441;0:11:04:00;0:11:20:00;9;
62653;23;457;441;271;0:11:20:00;0:11:54:00;1;
62653;23;-1;271;271;0:11:54:00;0:11:57:00;9;
62653;23;458;271;218;0:11:57:00;0:12:50:00;1;
62653;23;-1;218;218;0:12:50:00;0:13:06:00;9;
62653;23;459;218;271;0:13:06:00;0:13:59:00;1;
62653;23;-1;271;271;0:13:59:00;0:14:06:00;9;
62653;23;460;271;441;0:14:06:00;0:14:38:00;1;
62653;23;-1;441;441;0:14:38:00;0:14:51:00;9;
62653;23;126;441;296;0:14:51:00;0:15:23:00;1;
62653;23;-1;296;1;0:15:23:00;0:15:37:00;3;
62653;-1;P;-1;-1;0:15:37:00;0:17:10:00;8;
62653;12;-1;1;271;0:17:10:00;0:17:27:00;4;
62653;12;382;271;213;0:17:27:00;0:18:02:00;1;
62653;12;-1;213;1;0:18:02:00;0:18:12:00;3;
62653;-3;-1;1;-1;0:18:12:00;0:18:22:00;6;
75061;-3;-1;-1;1;0:05:56:00;0:06:06:00;5;
75061;14;-1;1;558;0:06:06:00;0:06:31:00;4;
75061;14;4;558;101;0:06:31:00;0:07:08:00;1;
75061;14;-1;101;228;0:07:08:00;0:07:20:00;2;
75061;14;-1;228;228;0:07:20:00;0:07:28:00;9;
75061;14;420;228;292;0:07:28:00;0:08:10:00;1;
75061;14;-1;292;297;0:08:10:00;0:08:14:00;2;
75061;14;-1;297;297;0:08:14:00;0:08:19:00;9;
75061;14;314;297;253;0:08:19:00;0:08:52:00;1;
75061;14;-1;253;1;0:08:52:00;0:08:57:00;3;
75061;-1;P;-1;-1;0:08:57:00;0:10:43:00;8;
75061;12;-1;1;213;0:10:43:00;0:10:52:00;4;
75061;12;174;213;271;0:10:52:00;0:11:29:00;1;
75061;12;-1;271;271;0:11:29:00;0:11:36:00;9;
75061;12;175;271;441;0:11:36:00;0:12:08:00;1;
75061;12;-1;441;441;0:12:08:00;0:12:20:00;9;
75061;12;176;441;271;0:12:20:00;0:12:54:00;1;
75061;12;-1;271;271;0:12:54:00;0:12:57:00;9;
75061;12;177;271;654;0:12:57:00;0:13:41:00;1;
75061;12;-1;654;213;0:13:41:00;0:13:48:00;2;
75061;12;-1;213;213;0:13:48:00;0:13:52:00;9;
75061;12;394;213;271;0:13:52:00;0:14:29:00;1;
75061;12;-1;271;271;0:14:29:00;0:14:36:00;9;
75061;12;395;271;441;0:14:36:00;0:15:08:00;1;
75061;12;-1;441;441;0:15:08:00;0:15:21:00;9;
75061;12;80;441;296;0:15:21:00;0:15:53:00;1;
75061;12;-1;296;296;0:15:53:00;0:16:02:00;9;
75061;12;81;296;441;0:16:02:00;0:16:34:00;1;
75061;12;-1;441;1;0:16:34:00;0:16:50:00;3;
75061;-3;-1;1;-1;0:16:50:00;0:17:00:00;6;
76093;-3;-1;-1;1;0:12:33:00;0:12:43:00;5;
76093;6;-1;1;213;0:12:43:00;0:12:52:00;4;
76093;6;409;213;271;0:12:52:00;0:13:29:00;1;
76093;6;-1;271;271;0:13:29:00;0:13:36:00;9;
76093;6;410;271;441;0:13:36:00;0:14:08:00;1;
76093;6;-1;441;441;0:14:08:00;0:14:21:00;9;
76093;6;37;441;296;0:14:21:00;0:14:53:00;1;
76093;6;-1;296;296;0:14:53:00;0:15:02:00;9;
