*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
0;1;0
1;1;0
2;1;0
3;1;0
4;1;0
5;1;0
6;1;0
7;1;0
8;1;0
9;1;0
10;1;0
11;1;0
12;1;0
13;1;0
14;1;0
15;1;0
16;1;0
17;1;0
18;1;0
19;1;0
20;1;0
21;1;0
22;1;0
23;1;0
24;1;0
25;1;0
*
* FahrtZuUmlauf
*
$BLOCKELEMENT:BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
3;ZD131082;8198;0;0:09:06:00;0:09:24:00;3;
3;VD786438;0;8232;0:10:52:00;0:10:55:00;4;
3;786438;8232;8211;0:10:55:00;0:11:00:00;1;-
3;786438w;8211;8211;0:11:00:00;0:11:05:00;9;
3;262185;8211;8193;0:11:05:00;0:12:03:00;1;-
3;262185w;8193;8193;0:12:03:00;0:12:18:00;9;
3;262159;8193;8211;0:12:18:00;0:13:13:00;1;-
3;L262159;8211;8209;0:13:13:00;0:13:17:00;2;
3;589832;8209;8217;0:13:17:00;0:13:34:00;1;-
3;L589832;8217;8221;0:13:34:00;0:13:40:00;2;
3;458759;8221;8210;0:13:40:00;0:13:58:00;1;-
3;458759w;8210;8210;0:13:58:00;0:14:00:00;9;
3;327721;8210;8198;0:14:00:00;0:14:49:00;1;-
3;327721w;8198;8198;0:14:49:00;0:15:03:00;9;
3;327713;8198;8199;0:15:03:00;0:15:30:00;1;-
3;327713w;8199;8199;0:15:30:00;0:15:31:00;9;
3;393366;8199;8207;0:15:31:00;0:15:47:00;1;-
3;393366w;8207;8207;0:15:47:00;0:15:51:00;9;
3;393333;8207;8199;0:15:51:00;0:16:09:00;1;-
3;393333w;8199;8199;0:16:09:00;0:16:11:00;9;
3;393368;8199;8207;0:16:11:00;0:16:27:00;1;-
3;393368w;8207;8207;0:16:27:00;0:16:31:00;9;
3;393321;8207;8199;0:16:31:00;0:16:49:00;1;-
3;393321w;8199;8199;0:16:49:00;0:16:51:00;9;
3;393370;8199;8207;0:16:51:00;0:17:07:00;1;-
3;393370w;8207;8207;0:17:07:00;0:17:11:00;9;
3;393309;8207;8199;0:17:11:00;0:17:29:00;1;-
3;393309w;8199;8199;0:17:29:00;0:17:31:00;9;
3;393372;8199;8207;0:17:31:00;0:17:47:00;1;-
3;393372w;8207;8207;0:17:47:00;0:17:51:00;9;
3;393335;8207;8199;0:17:51:00;0:18:09:00;1;-
3;393335w;8199;8199;0:18:09:00;0:18:11:00;9;
3;393374;8199;8207;0:18:11:00;0:18:27:00;1;-
3;ZD393374;8207;0;0:18:27:00;0:18:33:00;3;
3;VD65553;0;8206;0:19:18:00;0:19:18:00;4;
3;65553;8206;8204;0:19:18:00;0:19:58:00;1;-
3;65553w;8204;8204;0:19:58:00;0:20:08:00;9;
3;65590;8204;8206;0:20:08:00;0:20:45:00;1;-
3;ZD65590;8206;0;0:20:45:00;0:20:45:00;3;
4;VD65554;0;8206;0:04:31:00;0:04:31:00;4;
4;65554;8206;8203;0:04:31:00;0:04:57:00;1;-
4;65554w;8203;8203;0:04:57:00;0:05:00:00;9;
4;65591;8203;8206;0:05:00:00;0:05:25:00;1;-
4;L65591;8206;8207;0:05:25:00;0:05:31:00;2;
4;393310;8207;8199;0:05:31:00;0:05:49:00;1;-
4;393310w;8199;8199;0:05:49:00;0:05:51:00;9;
4;393337;8199;8207;0:05:51:00;0:06:07:00;1;-
4;393337w;8207;8207;0:06:07:00;0:06:11:00;9;
4;393298;8207;8199;0:06:11:00;0:06:29:00;1;-
4;393298w;8199;8199;0:06:29:00;0:06:31:00;9;
4;393339;8199;8207;0:06:31:00;0:06:47:00;1;-
4;393339w;8207;8207;0:06:47:00;0:06:51:00;9;
4;393324;8207;8199;0:06:51:00;0:07:09:00;1;-
4;393324w;8199;8199;0:07:09:00;0:07:11:00;9;
4;393341;8199;8207;0:07:11:00;0:07:27:00;1;-
4;393341w;8207;8207;0:07:27:00;0:07:31:00;9;
4;393312;8207;8199;0:07:31:00;0:07:49:00;1;-
4;393312w;8199;8199;0:07:49:00;0:07:51:00;9;
4;393343;8199;8207;0:07:51:00;0:08:07:00;1;-
4;393343w;8207;8207;0:08:07:00;0:08:11:00;9;
4;393300;8207;8199;0:08:11:00;0:08:29:00;1;-
4;393300w;8199;8199;0:08:29:00;0:08:31:00;9;
4;393345;8199;8207;0:08:31:00;0:08:47:00;1;-
