*
* Umlaeufe
*
$BLOCK:ID;VehTypeID;DepotID
2;VD632;1;213;1:01:44:00;1:01:53:00;4;
2;632;213;500;1:01:53:00;1:02:12:00;1;
2;632w;500;500;1:02:12:00;1:02:15:00;9;
2;571;500;353;1:02:15:00;1:02:38:00;1;
2;571w;353;353;1:02:38:00;1:02:52:00;9;
2;572;353;500;1:02:52:00;1:03:12:00;1;
2;572w;500;500;1:03:12:00;1:03:15:00;9;
2;586;500;110;1:03:15:00;1:03:28:00;1;
2;L586;110;500;1:03:28:00;1:03:39:00;2;
2;L586w;500;500;1:03:39:00;1:03:45:00;9;
2;648;500;558;1:03:45:00;1:04:07:00;1;
2;ZD648;558;1;1:04:07:00;1:04:32:00;3;
3;VD23;1;266;0:04:46:00;0:05:08:00;4;
3;23;266;509;0:05:08:00;0:05:35:00;1;
3;ZD23;509;1;0:05:35:00;0:05:37:00;3;
3;VD154;1;364;0:05:38:00;0:06:01:00;4;
3;154;364;251;0:06:01:00;0:06:57:00;1;
3;154w;251;251;0:06:57:00;0:06:58:00;9;
3;155;251;364;0:06:58:00;0:07:53:00;1;
3;155w;364;364;0:07:53:00;0:08:01:00;9;
3;156;364;332;0:08:01:00;0:08:53:00;1;
3;156w;332;332;0:08:53:00;0:09:02:00;9;
3;157;332;364;0:09:02:00;0:09:53:00;1;
3;157w;364;364;0:09:53:00;0:10:01:00;9;
3;158;364;251;0:10:01:00;0:10:57:00;1;
3;158w;251;251;0:10:57:00;0:10:58:00;9;
3;159;251;364;0:10:58:00;0:11:53:00;1;
3;159w;364;364;0:11:53:00;0:12:01:00;9;
3;160;364;586;0:12:01:00;0:12:45:00;1;
3;L160;586;502;0:12:45:00;0:13:20:00;2;
3;487;502;509;0:13:20:00;0:13:56:00;1;
3;ZD487;509;1;0:13:56:00;0:13:58:00;3;
3;VD341;1;253;0:13:59:00;0:14:04:00;4;
3;341;253;297;0:14:04:00;0:14:38:00;1;
3;341w;297;297;0:14:38:00;0:14:49:00;9;
3;342;297;253;0:14:49:00;0:15:22:00;1;
3;ZD342;253;1;0:15:22:00;0:15:27:00;3;
3;VD325;1;253;0:16:29:00;0:16:34:00;4;
