*
* Diensttypen
*
$DUTY:DutyID;DutyType
s18;day-Tripper
s19;day-Tripper
s57;day-Tripper
s19030;day-Block30
s54001;day-Block30
s60271;day-Block30
s74815;day-Split90-225
s74939;day-Split90-225
s89821;day-Split90-225
s91825;day-Split90-225
4;day-Split90-225
9;day-Split90-225
16;day-Block30
17;day-Block30
30;day-Block30
4077;day-Block30
28634;day-Block30
28742;day-Block30
30330;day-Split90-225
31602;day-Split90-225
42096;day-Block30
47549;day-Block30
52432;day-Block30
53469;day-Block30
55510;day-Block30
55800;day-Block30
56849;day-Block30
58036;day-Block30
58094;day-Block30
59449;day-Block30
60536;day-Block30
61813;day-Block30
62085;day-Split90-225
62578;day-Split90-225
62816;day-Split226-360
65482;day-Block30
65647;day-Split90-225
65721;day-Split226-360
65934;day-Block30
66481;day-Block30
66610;day-Split90-225
66953;day-Split90-225
67443;day-Split226-360
67462;day-Split226-360
67477;day-Split226-360
67490;day-Split226-360
67567;day-Split226-360
67593;day-Block30
67603;day-Block30
67614;day-Block30
67776;day-Block30
68201;day-Block30
*
* Dienste
* (mit ElementType: 1 = Servicefahrt, 2 = Leerfahrt Haltestellen, 3 = Fahrt ins Depot, 4 = Fahrt aus dem Depot, 5 = Vorbereitung, 6 = Nachbereitung, 7 = Transfer, 8 = Pause, 9 = Warten, 10 = LayoverTime)
$DUTYELEMENT:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
s60271;6;-1;8203;8203;0:22:41:00;0:22:49:00;9;
s60271;6;65594;8203;8206;0:22:49:00;0:23:14:00;1;-
s60271;6;-1;8206;0;0:23:14:00;0:23:14:00;3;
s60271;-3;-1;0;-1;0:23:14:00;0:23:24:00;6;
s74815;-3;-1;-1;0;0:08:06:00;0:08:16:00;5;
s74815;1;-1;0;8206;0:08:16:00;0:08:16:00;4;
s74815;1;131082;8206;8198;0:08:16:00;0:09:06:00;1;-
s74815;1;-1;8198;0;0:09:06:00;0:09:24:00;3;
s74815;-1;P;-1;-1;0:09:24:00;0:10:59:00;8;
s74815;9;-1;0;8221;0:10:59:00;0:11:00:00;4;
s74815;9;458756;8221;8210;0:11:00:00;0:11:18:00;1;-
s74815;9;-1;8210;8231;0:11:18:00;0:11:23:00;2;
s74815;9;-1;8231;8231;0:11:23:00;0:11:35:00;9;
s74815;9;786439;8231;8211;0:11:35:00;0:11:40:00;1;-
s74815;9;-1;8211;8211;0:11:40:00;0:11:43:00;9;
s74815;9;393235;8211;8213;0:11:43:00;0:12:29:00;1;-
s74815;9;-1;8213;8213;0:12:29:00;0:12:49:00;9;
s74815;9;393274;8213;8211;0:12:49:00;0:13:36:00;1;-
s74815;9;-1;8211;8211;0:13:36:00;0:13:43:00;9;
s74815;9;393239;8211;8213;0:13:43:00;0:14:29:00;1;-
s74815;9;-1;8213;8213;0:14:29:00;0:14:49:00;9;
s74815;9;393275;8213;8211;0:14:49:00;0:15:36:00;1;-
s74815;9;-1;8211;8211;0:15:36:00;0:15:43:00;9;
s74815;9;393243;8211;8213;0:15:43:00;0:16:29:00;1;-
s74815;9;-1;8213;8213;0:16:29:00;0:16:49:00;9;
s74815;9;393276;8213;8211;0:16:49:00;0:17:36:00;1;-
s74815;9;-1;8211;8211;0:17:36:00;0:17:43:00;9;
s74815;-1;-1;8211;0;0:17:43:00;0:17:48:00;7;
s74815;-3;-1;0;-1;0:17:48:00;0:17:58:00;6;
s74939;-3;-1;-1;0;0:06:47:00;0:06:57:00;5;
s74939;9;-1;0;8211;0:06:57:00;0:07:03:00;4;
s74939;9;720899;8211;8199;0:07:03:00;0:07:18:00;1;-
s74939;9;-1;8199;0;0:07:18:00;0:07:28:00;3;
s74939;-1;P;-1;-1;0:07:28:00;0:10:52:00;8;
s74939;1;-1;0;8232;0:10:52:00;0:10:55:00;4;
s74939;1;786438;8232;8211;0:10:55:00;0:11:00:00;1;-
s74939;1;-1;8211;8211;0:11:00:00;0:11:05:00;9;
s74939;1;262185;8211;8193;0:11:05:00;0:12:03:00;1;-
s74939;1;-1;8193;8193;0:12:03:00;0:12:18:00;9;
s74939;1;262159;8193;8211;0:12:18:00;0:13:13:00;1;-
s74939;1;-1;8211;8209;0:13:13:00;0:13:17:00;2;
s74939;1;589832;8209;8217;0:13:17:00;0:13:34:00;1;-
s74939;1;-1;8217;8221;0:13:34:00;0:13:40:00;2;
s74939;1;458759;8221;8210;0:13:40:00;0:13:58:00;1;-
s74939;1;-1;8210;8210;0:13:58:00;0:14:00:00;9;
s74939;1;327721;8210;8198;0:14:00:00;0:14:49:00;1;-
s74939;1;-1;8198;8198;0:14:49:00;0:15:03:00;9;
s74939;1;327713;8198;8199;0:15:03:00;0:15:30:00;1;-
s74939;1;-1;8199;8199;0:15:30:00;0:15:31:00;9;
s74939;1;393366;8199;8207;0:15:31:00;0:15:47:00;1;-
s74939;1;-1;8207;8207;0:15:47:00;0:15:51:00;9;
s74939;1;393333;8207;8199;0:15:51:00;0:16:09:00;1;-
s74939;1;-1;8199;8199;0:16:09:00;0:16:11:00;9;
s74939;1;393368;8199;8207;0:16:11:00;0:16:27:00;1;-
